20   [Thread-3] DEBUG  Lab4.Bank  - Queued Cashier{cashierNumber=6}
20   [Thread-1] DEBUG  Lab4.Bank  - Queued Cashier{cashierNumber=7}
20   [Thread-9] DEBUG  Lab4.Cashier  - Processed operation of client #8 by cashier #8: Operation{from=Account{accountNumber=13, money=49}, to=Account{accountNumber=8, money=1}, money=1, status=OK}
21   [Thread-7] DEBUG  Lab4.Cashier  - Processed operation of client #6 by cashier #9: Operation{from=Account{accountNumber=11, money=46}, to=Account{accountNumber=8, money=53}, money=3, status=OK}
21   [Thread-9] DEBUG  Lab4.Bank  - Queued Cashier{cashierNumber=8}
21   [Thread-7] DEBUG  Lab4.Bank  - Queued Cashier{cashierNumber=9}
124  [Thread-5] DEBUG  Lab4.Client  - New operation on client #4 Operation{from=Account{accountNumber=13, money=49}, to=Account{accountNumber=0, money=50}, money=4, status=PENDING}
124  [Thread-3] DEBUG  Lab4.Client  - New operation on client #2 Operation{from=Account{accountNumber=11, money=46}, to=Account{accountNumber=2, money=0}, money=0, status=PENDING}
124  [Thread-3] DEBUG  Lab4.Bank  - Processing client #2
124  [Thread-4] DEBUG  Lab4.Client  - New operation on client #3 Operation{from=Account{accountNumber=3, money=2}, to=Account{accountNumber=11, money=46}, money=2, status=PENDING}
124  [Thread-7] DEBUG  Lab4.Client  - New operation on client #6 Operation{from=Account{accountNumber=1, money=50}, to=Account{accountNumber=5, money=50}, money=0, status=PENDING}
124  [Thread-6] DEBUG  Lab4.Client  - New operation on client #5 Operation{from=Account{accountNumber=3, money=53}, to=Account{accountNumber=2, money=50}, money=3, status=PENDING}
124  [Thread-6] DEBUG  Lab4.Bank  - Processing client #5
124  [Thread-10] DEBUG  Lab4.Client  - New operation on client #9 Operation{from=Account{accountNumber=9, money=4}, to=Account{accountNumber=0, money=50}, money=4, status=PENDING}
124  [Thread-10] DEBUG  Lab4.Bank  - Processing client #9
124  [Thread-7] DEBUG  Lab4.Bank  - Processing client #6
124  [Thread-9] DEBUG  Lab4.Client  - New operation on client #8 Operation{from=Account{accountNumber=8, money=1}, to=Account{accountNumber=8, money=53}, money=1, status=PENDING}
125  [Thread-9] DEBUG  Lab4.Bank  - Processing client #8
124  [Thread-4] DEBUG  Lab4.Bank  - Processing client #3
124  [Thread-3] DEBUG  Lab4.Cashier  - Processed operation of client #2 by cashier #2: Operation{from=Account{accountNumber=11, money=46}, to=Account{accountNumber=2, money=0}, money=0, status=OK}
125  [Thread-3] DEBUG  Lab4.Bank  - Queued Cashier{cashierNumber=2}
124  [Thread-1] DEBUG  Lab4.Client  - New operation on client #0 Operation{from=Account{accountNumber=16, money=51}, to=Account{accountNumber=0, money=0}, money=1, status=PENDING}
